"state","puma5","msacmsa","pmsa","stab","msaname","pmsaname","pop2k","afact"
"06","03503","8780"," ","CA","Visalia-Tulare-Porterville, CA"," ",143882,1 
"06","03600","9999"," ","CA","Non-metro"," ",129461,1 
"06","03701","7460"," ","CA","San Luis Obispo-Atascadero-Paso Robles, CA"," ",117927,1 
"06","03702","7460"," ","CA","San Luis Obispo-Atascadero-Paso Robles, CA"," ",128754,1 
"06","03800","0680"," ","CA","Bakersfield, CA"," ",247057,1 
"06","03901","0680"," ","CA","Bakersfield, CA"," ",125980,1 
"06","03902","0680"," ","CA","Bakersfield, CA"," ",146717,1 
"06","03903","0680"," ","CA","Bakersfield, CA"," ",141891,1 
"06","04000","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",158007,1 
"06","04100","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",127743,1 
"06","04200","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",128929,1 
"06","04300","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",185401,1 
"06","04401","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",145990,1 
"06","04402","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",108047,1 
"06","04403","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",204331,1 
"06","04404","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",188687,1 
"06","04405","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",166142,1 
"06","04406","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",185721,1 
"06","04407","4472","6780","CA","Los Angeles-Riverside-Orange County, CA (C)","Riverside-San Bernardino, CA (P)",110436,1 
"06","04500","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",118718,1 
"06","04600","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",116670,1 
"06","04700","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",151088,1 
"06","04800","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",100316,1 
"06","04900","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",194973,1 
"06","05000","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",133936,1 
"06","05100","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",115965,1 
"06","05200","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",149473,1 
"06","05300","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",124283,1 
"06","05401","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",162235,1 
"06","05402","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",126845,1 
"06","05403","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",120285,1 
"06","05404","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",131131,1 
"06","05405","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",128277,1 
"06","05406","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",133680,1 
"06","05407","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",159064,1 
"06","05408","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",160836,1 
"06","05409","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",150282,1 
"06","05410","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",156616,1 
"06","05411","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",194388,1 
"06","05412","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",164698,1 
"06","05413","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",233983,1 
"06","05414","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",123129,1 
"06","05415","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",193704,1 
"06","05416","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",228910,1 
"06","05417","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",153663,1 
"06","05418","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",107542,1 
"06","05419","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",156039,1 
"06","05420","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",114788,1 
"06","05421","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",161383,1 
"06","05422","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",119937,1 
"06","05423","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",129796,1 
"06","05424","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",184246,1 
"06","05500","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",112580,1 
"06","05600","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",137946,1 
"06","05701","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",138799,1 
"06","05702","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",196892,1 
"06","05703","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",125831,1 
"06","05800","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",105080,1 
"06","05900","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",107323,1 
"06","06000","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",103298,1 
"06","06101","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",122141,1 
"06","06102","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",142241,1 
"06","06103","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",110116,1 
"06","06104","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",172377,1 
"06","06105","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",159524,1 
"06","06106","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",163104,1 
"06","06107","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",114547,1 
"06","06108","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",110972,1 
"06","06109","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",126720,1 
"06","06110","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",166971,1 
"06","06111","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",128245,1 
"06","06112","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",122051,1 
"06","06113","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",145553,1 
"06","06114","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",137816,1 
"06","06115","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",168966,1 
"06","06116","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",128144,1 
"06","06117","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",130374,1 
"06","06118","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",163666,1 
"06","06119","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",149972,1 
"06","06120","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",110297,1 
"06","06121","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",100797,1 
"06","06122","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",131712,1 
"06","06123","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",140665,1 
"06","06124","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",116546,1 
"06","06125","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",218389,1 
"06","06126","4472","4480","CA","Los Angeles-Riverside-Orange County, CA (C)","Los Angeles-Long Beach, CA (P)",108804,1 
"06","06200","4472","8735","CA","Los Angeles-Riverside-Orange County, CA (C)","Ventura, CA (P)",170358,1 
"06","06300","4472","8735","CA","Los Angeles-Riverside-Orange County, CA (C)","Ventura, CA (P)",100916,1 
"06","06400","4472","8735","CA","Los Angeles-Riverside-Orange County, CA (C)","Ventura, CA (P)",111351,1 
"06","06500","4472","8735","CA","Los Angeles-Riverside-Orange County, CA (C)","Ventura, CA (P)",117005,1 
"06","06601","4472","8735","CA","Los Angeles-Riverside-Orange County, CA (C)","Ventura, CA (P)",126049,1 
"06","06602","4472","8735","CA","Los Angeles-Riverside-Orange County, CA (C)","Ventura, CA (P)",127518,1 
"06","06701","7480"," ","CA","Santa Barbara-Santa Maria-Lompoc, CA"," ",198345,1 
"06","06702","7480"," ","CA","Santa Barbara-Santa Maria-Lompoc, CA"," ",201002,1 
