GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
Id,Id2,Geography,Total:,Male:,Male: - No schooling completed,Male: - Nursery to 4th grade,Male: - 5th and 6th grade,Male: - 7th and 8th grade,Male: - 9th grade,Male: - 10th grade,Male: - 11th grade,"Male: - 12th grade, no diploma",Male: - High school graduate (includes equivalency),"Male: - Some college, less than 1 year","Male: - Some college, 1 or more years, no degree",Male: - Associate degree,Male: - Bachelor's degree,Male: - Master's degree,Male: - Professional school degree,Male: - Doctorate degree,Female:,Female: - No schooling completed,Female: - Nursery to 4th grade,Female: - 5th and 6th grade,Female: - 7th and 8th grade,Female: - 9th grade,Female: - 10th grade,Female: - 11th grade,"Female: - 12th grade, no diploma",Female: - High school graduate (includes equivalency),"Female: - Some college, less than 1 year","Female: - Some college, 1 or more years, no degree",Female: - Associate degree,Female: - Bachelor's degree,Female: - Master's degree,Female: - Professional school degree,Female: - Doctorate degree
3800000US3870,3870,"La Crosse, WI--MN MSA",78326,37474,202,40,85,1411,366,704,570,879,12298,2292,5582,3803,5708,2059,928,547,40852,325,17,97,1488,439,698,618,699,13064,3056,5930,4417,6791,2468,495,250
3800000US3880,3880,"Lafayette, LA MSA",234965,110358,2919,1885,3681,7023,4214,4655,4250,3913,35145,5531,13318,3209,13830,3582,2253,950,124607,2937,2071,3499,8067,4240,5443,4400,4135,41118,7727,15542,4813,14433,4864,1040,278
3800000US3920,3920,"Lafayette, IN MSA",101655,49532,174,244,711,1283,1099,1228,1028,1128,16176,2942,5937,2356,7997,3877,959,2393,52123,244,125,431,1368,1178,1353,1386,1103,19147,3316,6145,2852,7932,4092,666,785
3800000US3960,3960,"Lake Charles, LA MSA",114563,54108,909,573,1266,1923,1729,1745,1698,2171,18708,3476,8538,2099,6090,1799,1040,344,60455,994,527,1184,2474,1807,2537,2557,2211,20908,4198,8381,2633,7190,2405,346,103
3800000US3980,3980,"Lakeland--Winter Haven, FL MSA",326208,155820,2399,1486,3181,7071,6209,7319,6285,7718,49802,10933,20109,8339,16159,5029,2548,1233,170388,1757,1056,2944,6660,5850,7902,6978,7525,60118,14153,21122,10623,16487,5083,1711,419
3800000US4000,4000,"Lancaster, PA MSA",302503,143880,969,443,1193,11446,6097,5700,4139,3468,53458,6965,12372,6203,20523,6787,2652,1465,158623,1063,352,921,11644,6577,6274,4467,3729,64043,8397,13113,7431,21120,6781,2107,604
3800000US4040,4040,"Lansing--East Lansing, MI MSA",271817,128589,734,276,596,2729,1891,3182,2874,3014,32424,11431,20414,9788,22302,9189,3906,3839,143228,833,247,685,2637,2211,3335,2707,2929,39808,14905,22803,12227,23550,10194,2274,1883
3800000US4080,4080,"Laredo, TX MSA",101182,46672,2985,1704,4436,3271,2806,1521,1675,2444,8260,2644,5620,2244,4041,1388,1383,250,54510,4755,2715,6046,3961,3480,1702,1451,2614,9892,2811,5053,3000,4669,1516,739,106
3800000US4100,4100,"Las Cruces, NM MSA",99893,47791,1900,1458,2979,1794,1523,1429,1278,1653,10541,2644,6681,2473,6688,2841,752,1157,52102,2260,1789,3852,2154,1632,1387,1203,1631,11863,3324,7256,2920,6352,3582,514,383
3800000US4120,4120,"Las Vegas, NV--AZ MSA",1032981,518667,7560,3317,11964,12926,12907,14839,15399,28512,152200,42592,94325,29438,60703,18748,9849,3388,514314,7024,3102,10413,12226,12117,16111,17542,28457,164329,49938,85608,30854,51007,18227,5691,1668
